stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,wheelchair_boarding
1-5670,5670,Rocheleau,Montpellier / Belliard,46.880566,-71.217667,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5670,1
1-5676,5676,Rocheleau,Montpellier / Rocheleau,46.880768,-71.217949,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5676,1
1-9506,9506,De Rochebelle,École secondaire De Rochebelle,46.767815,-71.297333,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/9506,0
1-1889,1889,Rochon,Pie-XII / Rochon,46.768539,-71.331924,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1889,1
1-1172,1172,Gare-de-Ste-Foy,R.-Beaudin / De Rochebelle,46.772701,-71.299828,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1172,1
1-2323,2323,de La Rochelle,de Valmont / de La Rochelle,46.756184,-71.282829,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/2323,0
1-4273,4273,Rodier,Savard / Rodier,46.857319,-71.336746,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4273,0
1-4327,4327,Rodier,Savard / Rodier,46.85714,-71.336769,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4327,0
1-3036,3036,du Vice-Roi/3036,du Bourg-la-Reine / du Vice-Roi,46.890629,-71.265121,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/3036,0
1-4652,4652,du Roitelet/4652,de la Colline / du Roitelet,46.860752,-71.345741,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4652,0
1-4724,4724,du Roitelet/4724,de Rouen / du Roitelet,46.862595,-71.340904,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4724,0
